Tempo (s),Corrente i(t) [A],Tensão R [V],Tensão L [V],Tensão C [V]
0.0008808808808808808,3.6569525877063276e-06,0.00036569525877063277,0.004027811485382582,1.1082948902209376e-05
0.0008908908908908909,3.738005798399224e-06,0.0003738005798399224,0.004069386105957315,1.1457123656803893e-05
0.0009009009009009009,3.8198905663804266e-06,0.0003819890566380427,0.0041108694291416385,1.1839495084870001e-05
0.0009109109109109108,3.9026050893119375e-06,0.00039026050893119376,0.004152261554265656,1.2230146244961285e-05
0.0009209209209209209,3.986147539543729e-06,0.0003986147539543729,0.004193562580868968,1.2629160012683383e-05
0.0009309309309309309,4.070516089425771e-06,0.0004070516089425771,0.004234772608491177,1.3036619080693973e-05
0.000940940940940941,4.155708911308035e-06,0.0004155708911308035,0.0042758917366718845,1.3452605958702784e-05
0.0009509509509509509,4.241724177540492e-06,0.0004241724177540492,0.004316920064950692,1.38772029734716e-05
0.0009609609609609609,4.328560060473113e-06,0.00043285600604731127,0.004357857692867201,1.4310492268814257e-05
0.000970970970970971,4.416214732455867e-06,0.0004416214732455867,0.004398704719961014,1.4752555805596624e-05
0.000980980980980981,4.504686365838726e-06,0.00045046863658387257,0.0044394612457717315,1.5203475361736636e-05
0.000990990990990991,4.593973132971663e-06,0.00045939731329716627,0.004480127369838957,1.5663332532204272e-05
0.001001001001001001,4.684073206204644e-06,0.0004684073206204644,0.00452070319170229,1.613220872902155e-05
0.001011011011011011,4.774984757887644e-06,0.00047749847578876437,0.004561188810901333,1.6610185181262555e-05
0.001021021021021021,4.866705960370634e-06,0.0004866705960370634,0.004601584326975689,1.7097342935053414e-05
0.001031031031031031,4.959234986003581e-06,0.000495923498600358,0.004641889839464957,1.7593762853572286e-05
0.001041041041041041,5.052570007136458e-06,0.0005052570007136458,0.004682105447908741,1.8099525617049408e-05
0.001051051051051051,5.146709196119238e-06,0.0005146709196119238,0.004722231251846643,1.861471172276705e-05
0.001061061061061061,5.2416507253018885e-06,0.0005241650725301888,0.004762267350818262,1.913940148505953e-05
0.001071071071071071,5.3373927670343815e-06,0.0005337392767034381,0.004802213844363202,1.9673675035313226e-05
0.001081081081081081,5.43393349366669e-06,0.000543393349366669,0.004842070832021064,2.0217612321966548e-05
0.001091091091091091,5.531271077548781e-06,0.0005531271077548781,0.00488183841333145,2.077129311050997e-05
0.0011011011011011012,5.629403691030629e-06,0.000562940369103063,0.004921516687833962,2.133479698348601e-05
0.0011111111111111111,5.728329506462201e-06,0.0005728329506462202,0.004961105755068199,2.190820334048923e-05
0.001121121121121121,5.82804669619347e-06,0.000582804669619347,0.005000605714573766,2.2491591398166257e-05
0.0011311311311311312,5.928553651988186e-06,0.0005928553651988185,0.005040016663891437,2.308504021217909e-05
0.0011411411411411411,6.0298489059515315e-06,0.0006029848905951532,0.005079338699283501,2.368862869125331e-05
0.001151151151151151,6.131930679608718e-06,0.0006131930679608718,0.00511857191984158,2.430243556608902e-05
0.0011611611611611612,6.234797191154196e-06,0.0006234797191154196,0.005157716424687642,2.4926539389027382e-05
0.0011711711711711711,6.338446658782405e-06,0.0006338446658782405,0.005196772312943649,2.556101853405064e-05
0.001181181181181181,6.442877300687792e-06,0.0006442877300687792,0.005235739683731569,2.620595119678215e-05
0.0011911911911911912,6.548087335064805e-06,0.0006548087335064805,0.0052746186361733675,2.6861415394486338e-05
0.0012012012012012011,6.654074980107886e-06,0.0006654074980107887,0.005313409269391009,2.7527488966068704e-05
0.001211211211211211,6.760838454011483e-06,0.0006760838454011482,0.005352111682506461,2.820424957207586e-05
0.0012212212212212212,6.868375974970044e-06,0.0006868375974970044,0.0053907259746416875,2.8891774694695487e-05
0.0012312312312312312,6.976685761178008e-06,0.0006976685761178008,0.005429252244918654,2.9590141637756353e-05
0.0012412412412412413,7.085766030829828e-06,0.0007085766030829828,0.005467690592459328,3.029942752672831e-05
0.0012512512512512512,7.1956150021199434e-06,0.0007195615002119943,0.0055060411163856725,3.1019709308722295e-05
0.0012612612612612612,7.306230893242803e-06,0.0007306230893242803,0.005544303915819655,3.175106375249034e-05
0.0012712712712712713,7.417611922392854e-06,0.0007417611922392853,0.005582479089883242,3.2493567448425564e-05
0.0012812812812812813,7.5297563077645365e-06,0.0007529756307764537,0.005620566737698397,3.3247296808562146e-05
0.0012912912912912912,7.6426622675523e-06,0.00076426622675523,0.005658566958387086,3.40123280665754e-05
0.0013013013013013013,7.756328019950593e-06,0.0007756328019950593,0.005696479851071276,3.478873727778166e-05
0.0013113113113113113,7.870751783153854e-06,0.0007870751783153854,0.005734305514872931,3.557660031913839e-05
0.0013213213213213212,7.985931775356532e-06,0.0007985931775356532,0.005772044048914018,3.637599288924416e-05
0.0013313313313313313,8.101866214753076e-06,0.0008101866214753076,0.0058096955523165026,3.7186990508338564e-05
0.0013413413413413413,8.218553319537927e-06,0.0008218553319537927,0.00584726012420235,3.8009668518302315e-05
0.0013513513513513514,8.335991307905534e-06,0.0008335991307905535,0.005884737863693526,3.884410208265723e-05
0.0013613613613613614,8.454178416124916e-06,0.0008454178416124916,0.00592212886971209,3.9690366188375434e-05
0.0013713713713713713,8.573113258743893e-06,0.0008573113258743892,0.005959433236996337,4.05485356837452e-05
0.0013813813813813814,8.692794250978731e-06,0.0008692794250978732,0.005996651062489169,4.141868525841774e-05
0.0013913913913913914,8.813219657799848e-06,0.0008813219657799849,0.006033782444795208,4.230088942836767e-05
0.0014014014014014013,8.934387744177665e-06,0.0008934387744177665,0.006070827482519078,4.319522253589296e-05
0.0014114114114114115,9.056296775082605e-06,0.0009056296775082605,0.006107786274265402,4.410175874961494e-05
0.0014214214214214214,9.178945015485081e-06,0.0009178945015485081,0.006144658918638801,4.502057206447831e-05
0.0014314314314314313,9.302330730355517e-06,0.0009302330730355517,0.0061814455142439,4.595173630175113e-05
0.0014414414414414415,9.426452184664337e-06,0.0009426452184664337,0.006218146159685321,4.689532510902484e-05
0.0014514514514514514,9.551307643381953e-06,0.0009551307643381953,0.006254760953567688,4.785141196021422e-05
0.0014614614614614613,9.676895371478788e-06,0.0009676895371478788,0.006291289994495622,4.882007015555745e-05
0.0014714714714714715,9.803213633925265e-06,0.0009803213633925265,0.0063277333810737475,4.980137282161604e-05
0.0014814814814814814,9.930260695691798e-06,0.0009930260695691798,0.006364091211906686,5.079539291127488e-05
0.0014914914914914916,1.0058034821748814e-05,0.0010058034821748814,0.006400363585599063,5.1802203203742234e-05
0.0015015015015015015,1.0186534277066726e-05,0.0010186534277066726,0.0064365506007554975,5.28218763045497e-05
0.0015115115115115114,1.0315757326615956e-05,0.0010315757326615957,0.006472652355980615,5.3854484645552304e-05
0.0015215215215215216,1.0445702235366928e-05,0.001044570223536693,0.00650866894987904,5.4900100484928375e-05
0.0015315315315315315,1.0576367268290057e-05,0.0010576367268290057,0.00654460048105539,5.595879590717963e-05
0.0015415415415415414,1.0707750690355765e-05,0.0010707750690355765,0.006580447048114293,5.703064282313116e-05
0.0015515515515515516,1.0839850766534472e-05,0.0010839850766534472,0.00661620874966037,5.811571296993141e-05
0.0015615615615615615,1.0972665761796596e-05,0.0010972665761796597,0.006651885684298244,5.921407791105218e-05
0.0015715715715715714,1.1106193941112558e-05,0.0011106193941112558,0.006687477950632537,6.0325809036288676e-05
0.0015815815815815816,1.1240433569452782e-05,0.0011240433569452782,0.006722985647267875,6.145097756175942e-05
0.0015915915915915915,1.137538291178768e-05,0.001137538291178768,0.006758408872808876,6.258965452990634e-05
