pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_fitness,best_gen_idx
run_2025-08-22_09-14-01,config_4,4,4,0.6,2,5,0.9,100,1,10,0.2,50,31,12,31,31,31,37.35402933294375,99
run_2025-08-22_09-14-01,config_4,5,4,0.6,2,5,0.9,100,1,10,0.2,50,19,11,19,19,21,37.38888331705508,99
run_2025-08-22_11-06-39,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,26,9,26,26,26,37.35402933294379,99
run_2025-08-22_11-06-39,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,28,29,1,1,28,50.86900424344032,99
run_2025-08-22_11-06-39,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,18,4,18,18,18,37.38888331705508,99
run_2025-08-22_11-06-39,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,2,30,2,2,4,37.45559271642127,99
run_2025-08-22_11-06-39,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,20,0,20,20,22,37.35402933294375,99
run_2025-08-22_11-06-39,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,14,20,14,14,16,37.35402933294375,99
run_2025-08-22_11-06-39,config_2,2,2,0.8,2,5,0.9,100,1,10,0.2,50,6,14,6,6,6,37.35402933294375,99
run_2025-08-22_11-06-39,config_2,3,2,0.8,2,5,0.9,100,1,10,0.2,50,0,22,0,0,0,37.35402933294375,99
run_2025-08-22_11-06-39,config_2,4,2,0.8,2,5,0.9,100,1,10,0.2,50,26,21,26,26,28,37.35402933294379,99
run_2025-08-22_11-06-39,config_2,5,2,0.8,2,5,0.9,100,1,10,0.2,50,29,14,29,29,29,37.35402933294375,99
run_2025-08-22_11-06-39,config_3,1,3,0.7,2,5,0.9,100,1,10,0.2,50,30,4,30,30,5,38.62046726902093,99
run_2025-08-22_11-06-39,config_3,2,3,0.7,2,5,0.9,100,1,10,0.2,50,24,25,4,4,24,50.86900424344032,99
run_2025-08-22_11-06-39,config_3,3,3,0.7,2,5,0.9,100,1,10,0.2,50,8,9,20,20,8,50.86900424344025,99
run_2025-08-22_11-06-39,config_3,4,3,0.7,2,5,0.9,100,1,10,0.2,50,19,0,19,19,19,37.38888331705508,99
run_2025-08-22_11-06-39,config_3,5,3,0.7,2,5,0.9,100,1,10,0.2,50,22,12,22,22,24,37.35402933294375,99
run_2025-08-22_11-06-39,config_4,1,4,0.6,2,5,0.9,100,1,10,0.2,50,22,16,22,22,24,37.35402933294375,99
run_2025-08-22_11-06-39,config_4,2,4,0.6,2,5,0.9,100,1,10,0.2,50,25,17,25,25,27,37.35402933294379,99
run_2025-08-22_11-06-39,config_4,3,4,0.6,2,5,0.9,100,1,10,0.2,50,28,1,28,28,30,37.35402933294379,99
run_2025-08-22_11-06-39,config_4,4,4,0.6,2,5,0.9,100,1,10,0.2,50,26,8,26,26,26,37.35402933294379,99
run_2025-08-22_11-06-39,config_4,5,4,0.6,2,5,0.9,100,1,10,0.2,50,28,23,28,28,28,37.35402933294375,99
run_2025-08-22_12-50-07,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,31,8,31,31,31,37.35402933294375,99
run_2025-08-22_12-50-07,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,20,7,20,20,7,38.5347021941225,99
run_2025-08-22_12-50-07,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,9,18,9,9,9,37.35402933294375,99
run_2025-08-22_12-50-07,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,12,21,12,12,14,37.35402933294375,99
run_2025-08-22_12-50-07,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,0,13,0,0,0,37.35402933294375,99
run_2025-08-22_12-50-07,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,27,4,27,27,27,37.35402933294379,99
run_2025-08-22_12-50-07,config_2,2,2,0.8,2,5,0.9,100,1,10,0.2,50,13,19,13,13,15,37.35402933294375,99
run_2025-08-22_12-50-07,config_2,3,2,0.8,2,5,0.9,100,1,10,0.2,50,27,5,27,27,29,37.35402933294379,99
run_2025-08-22_12-50-07,config_2,4,2,0.8,2,5,0.9,100,1,10,0.2,50,0,13,0,0,0,37.35402933294375,99
run_2025-08-22_12-50-07,config_2,5,2,0.8,2,5,0.9,100,1,10,0.2,50,24,11,24,24,24,37.35402933294379,99
run_2025-08-22_12-50-07,config_3,1,3,0.7,2,5,0.9,100,1,10,0.2,50,31,19,31,31,31,37.35402933294375,99
run_2025-08-22_12-50-07,config_3,2,3,0.7,2,5,0.9,100,1,10,0.2,50,20,13,20,20,22,37.35402933294375,99
run_2025-08-22_12-50-07,config_3,3,3,0.7,2,5,0.9,100,1,10,0.2,50,28,9,28,28,28,37.35402933294375,99
run_2025-08-22_12-50-07,config_3,4,3,0.7,2,5,0.9,100,1,10,0.2,50,6,1,1,1,3,50.44955681845028,99
run_2025-08-22_12-50-07,config_3,5,3,0.7,2,5,0.9,100,1,10,0.2,50,21,8,21,21,23,37.35402933294375,99
run_2025-08-22_12-50-07,config_4,1,4,0.6,2,5,0.9,100,1,10,0.2,50,22,5,4,4,4,52.33167472531786,99
run_2025-08-22_12-50-07,config_4,2,4,0.6,2,5,0.9,100,1,10,0.2,50,31,6,31,31,31,37.35402933294375,99
run_2025-08-22_12-50-07,config_4,3,4,0.6,2,5,0.9,100,1,10,0.2,50,16,11,16,12,12,50.55375786965458,99
run_2025-08-22_12-50-07,config_4,4,4,0.6,2,5,0.9,100,1,10,0.2,50,15,22,15,15,15,37.35402933294375,99
run_2025-08-22_12-50-07,config_4,5,4,0.6,2,5,0.9,100,1,10,0.2,50,8,14,8,8,14,38.5347021941225,99
run_2025-08-22_14-32-41,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,7,13,7,7,7,37.35402933294375,99
run_2025-08-22_14-32-41,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,31,12,31,31,31,37.35402933294375,99
run_2025-08-22_14-32-41,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,23,4,23,23,25,37.35402933294375,99
run_2025-08-22_14-32-41,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,31,22,31,31,31,37.35402933294375,99
run_2025-08-22_14-32-41,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,29,3,29,29,29,37.35402933294375,99
run_2025-08-22_14-32-41,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,22,22,3,3,24,50.86900424344025,99
run_2025-08-22_14-32-41,config_2,2,2,0.8,2,5,0.9,100,1,10,0.2,50,25,16,25,25,27,37.35402933294379,99
run_2025-08-22_14-32-41,config_2,3,2,0.8,2,5,0.9,100,1,10,0.2,50,27,28,11,11,27,50.86900424344032,99
run_2025-08-22_14-32-41,config_2,4,2,0.8,2,5,0.9,100,1,10,0.2,50,7,15,7,7,9,37.35402933294379,99
run_2025-08-22_14-32-41,config_2,5,2,0.8,2,5,0.9,100,1,10,0.2,50,0,23,0,0,0,37.35402933294375,99
run_2025-08-22_14-32-41,config_3,1,3,0.7,2,5,0.9,100,1,10,0.2,50,3,19,3,3,3,37.35402933294375,99
run_2025-08-22_14-32-41,config_3,2,3,0.7,2,5,0.9,100,1,10,0.2,50,31,24,31,31,25,38.752826324076,99
run_2025-08-22_14-32-41,config_3,3,3,0.7,2,5,0.9,100,1,10,0.2,50,11,30,11,11,30,38.68611692470981,99
run_2025-08-22_14-32-41,config_3,4,3,0.7,2,5,0.9,100,1,10,0.2,50,4,4,21,21,6,50.86900424344032,99
run_2025-08-22_14-32-41,config_3,5,3,0.7,2,5,0.9,100,1,10,0.2,50,10,16,10,10,12,37.35402933294375,99
run_2025-08-22_14-32-41,config_4,1,4,0.6,2,5,0.9,100,1,10,0.2,50,9,15,9,9,9,37.35402933294375,99
run_2025-08-22_14-32-41,config_4,2,4,0.6,2,5,0.9,100,1,10,0.2,50,23,16,23,23,25,37.35402933294375,99
run_2025-08-22_14-32-41,config_4,3,4,0.6,2,5,0.9,100,1,10,0.2,50,24,4,24,24,26,37.35402933294379,99
run_2025-08-22_14-32-41,config_4,4,4,0.6,2,5,0.9,100,1,10,0.2,50,0,1,14,14,0,50.86900424344032,99
run_2025-08-22_14-32-41,config_4,5,4,0.6,2,5,0.9,100,1,10,0.2,50,15,23,15,15,17,37.35402933294375,99
run_2025-08-22_16-11-42,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,27,13,27,27,27,37.35402933294379,99
run_2025-08-22_16-11-42,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,19,1,19,19,19,37.38888331705508,99
run_2025-08-22_16-11-42,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,31,2,31,31,31,37.35402933294375,99
run_2025-08-22_16-11-42,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,28,16,28,28,28,37.35402933294375,99
run_2025-08-22_16-11-42,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,3,18,3,3,3,37.35402933294375,99
run_2025-08-22_16-11-42,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,11,11,22,22,13,50.86900424344032,99
run_2025-08-22_16-11-42,config_2,2,2,0.8,2,5,0.9,100,1,10,0.2,50,7,13,7,7,9,37.35402933294379,99
run_2025-08-22_16-11-42,config_2,3,2,0.8,2,5,0.9,100,1,10,0.2,50,1,1,10,10,3,50.86900424344032,99
run_2025-08-22_16-11-42,config_2,4,2,0.8,2,5,0.9,100,1,10,0.2,50,17,2,17,17,19,37.38888331705508,99
run_2025-08-22_16-11-42,config_2,5,2,0.8,2,5,0.9,100,1,10,0.2,50,3,23,3,3,3,37.35402933294375,99
run_2025-08-22_16-11-42,config_3,1,3,0.7,2,5,0.9,100,1,10,0.2,50,5,19,5,5,7,37.35402933294379,99
