,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_10,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
70,run_2025-08-29_09-31-38,config_4,1,4,0.9,2,10,0.5,20,1,10,0.2,50,8,14,28,20,8,29,28,7,1,7,89.95663958569145,15,function_IEEE_30
71,run_2025-08-29_09-31-38,config_4,2,4,0.9,2,10,0.5,20,1,10,0.2,50,24,25,25,13,2,31,8,2,25,20,70.72014930294843,17,function_IEEE_30
72,run_2025-08-29_09-31-38,config_4,3,4,0.9,2,10,0.5,20,1,10,0.2,50,10,19,25,24,24,26,25,10,30,26,64.36583496108256,16,function_IEEE_30
73,run_2025-08-29_12-36-25,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,3,3,3,3,11,26,3,17,0,26,73.78724275057083,18,function_IEEE_30
74,run_2025-08-29_12-36-25,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,28,10,10,28,28,26,30,26,3,28,76.17908603751954,19,function_IEEE_30
75,run_2025-08-29_12-36-25,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,5,29,5,10,16,25,0,5,29,25,70.77780894915028,15,function_IEEE_30
76,run_2025-08-29_12-36-25,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,2,19,19,11,2,2,18,18,12,2,79.4310226761526,18,function_IEEE_30
77,run_2025-08-29_12-36-25,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,7,4,2,2,23,16,2,30,2,4,82.43808998802103,8,function_IEEE_30
78,run_2025-08-29_12-36-25,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,13,14,8,9,20,13,14,13,8,22,87.32889206035736,17,function_IEEE_30
79,run_2025-08-29_12-36-25,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,24,24,25,18,29,0,25,11,30,0,71.85081189465204,17,function_IEEE_30
80,run_2025-08-29_12-36-25,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,18,28,28,28,28,8,19,2,8,8,72.03163115364866,17,function_IEEE_30
81,run_2025-08-29_12-36-25,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,15,24,14,7,29,1,24,15,24,19,81.80476421593224,9,function_IEEE_30
82,run_2025-08-29_12-56-14,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,15,4,4,4,15,31,4,13,31,25,80.66023053161592,19,function_IEEE_30
83,run_2025-08-29_12-56-14,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,10,12,11,10,0,12,18,0,24,12,70.14666828285621,19,function_IEEE_30
84,run_2025-08-29_12-56-14,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,5,5,5,4,5,12,11,4,26,17,71.89511224673814,13,function_IEEE_30
85,run_2025-08-29_12-56-14,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,25,26,26,25,17,11,10,9,2,19,80.3040159455697,11,function_IEEE_30
86,run_2025-08-29_12-56-14,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,7,14,2,26,26,20,19,25,26,14,91.43248535301586,6,function_IEEE_30
87,run_2025-08-29_12-56-14,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,27,27,31,27,21,5,14,31,9,5,90.09116093324292,14,function_IEEE_30
88,run_2025-08-29_12-56-14,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,29,30,29,24,20,14,29,14,30,26,84.270182858442,19,function_IEEE_30
89,run_2025-08-29_12-56-14,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,30,5,6,30,19,7,5,6,13,7,79.57624366224009,18,function_IEEE_30
90,run_2025-08-29_12-56-14,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,0,1,1,16,25,27,22,0,1,8,71.90706968461106,12,function_IEEE_30
91,run_2025-08-29_13-11-59,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,9,11,1,26,9,21,16,26,11,2,81.59929238614657,17,function_IEEE_30
92,run_2025-08-29_13-11-59,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,19,1,30,25,21,31,14,25,8,31,91.20370300559101,16,function_IEEE_30
93,run_2025-08-29_13-11-59,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,17,0,3,11,27,5,3,28,28,5,91.50992383097463,17,function_IEEE_30
94,run_2025-08-29_13-11-59,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,12,5,29,7,10,16,5,10,7,16,83.51597533576862,14,function_IEEE_30
95,run_2025-08-29_13-11-59,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,31,15,10,29,29,10,15,25,3,10,83.39607650522957,17,function_IEEE_30
96,run_2025-08-29_13-11-59,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,1,31,31,1,7,3,26,7,31,15,60.36298738026565,16,function_IEEE_30
97,run_2025-08-29_13-11-59,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,16,14,14,31,0,19,25,16,11,19,81.33401170113055,19,function_IEEE_30
98,run_2025-08-29_13-11-59,config_1,8,1,0.9,2,10,0.5,20,1,10,0.2,50,12,14,13,13,1,21,14,14,7,16,94.24221039560808,14,function_IEEE_30
99,run_2025-08-29_13-11-59,config_1,9,1,0.9,2,10,0.5,20,1,10,0.2,50,8,18,14,12,8,14,24,12,30,14,70.0580724516906,14,function_IEEE_30
100,run_2025-08-29_13-27-48,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,6,11,1,10,12,6,30,10,1,12,71.27083524782145,14,function_IEEE_30
101,run_2025-08-29_13-27-48,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,31,16,16,17,0,17,25,16,25,12,80.32374204294429,17,function_IEEE_30
102,run_2025-08-29_13-27-48,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,11,17,0,17,5,17,11,18,0,18,90.15308331915274,19,function_IEEE_30
103,run_2025-08-29_13-27-48,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,19,5,5,19,31,20,15,31,10,20,71.2713184328072,11,function_IEEE_30
104,run_2025-08-29_13-27-48,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,5,31,27,25,25,7,0,25,0,13,81.00982443887447,16,function_IEEE_30
