Unidades",Estado,Subsistema,Tipo de Usina,Nome do Rio,Nome da Bacia/ Estado,Região de Influência,Despacho da Usina em relação a Potência Instalada,Potência Instalada da Usina em relação ao Nominal da Bacia,Despacho da Usina em relação ao despacho da Bacia,Dados de Linha,Unnamed: 32,Unnamed: 33,Unnamed: 34,Máximo Síncronos Despacháveis,Balanço síncronos,UMX,Síncronos Despachados.1,Mq. Pativa modif + grupo,Mq. Pativa UMX UMN,Mq. Pativa,PInércia,Multiplos Grupos,Sincrono,Max Síncronos,UMN,Pmin,Pmax,Check Pmin,Numeração,Desp min,Sinc min,Nome da Barra do gerador CADASTRO,Qmin,Qmax,Carga Própria UGs (MW),"RPO
sincronizada","Const. Inércia
Equivalente",COD. CEG,COD. PEE,"CVU
(R$/MWh)",Inflexibilidade,Maior Reserva (MW),Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no PWF,,N° Circ,Nome da Barra do GERADOR,,,,,,,,min,,,,,,,,,,,,,,,,,,,,,489.700000000001,Belo Monte,,,,,,,,,,,
1,,,,,,,,MW,%,Mvar,Vterm,MW,%,MW,%,Forçar Nº de Máq,"Despacho
Síncronos",V term,,,,,,,Tipo de Usina,,,,,,,Barra DE,Barra PARA,,,,,,,,,,,,,,,,,,,,,,Qmin,Qmax,,9776.816,352.269093,Qmin,Qmin,Qmax,Qmin,Maior Inécia (MVA.s),,,,,,,,,,,,
94,Batalha,9446,53,8,26.8,-12.3,13,34,0.641509433962264,-7.68,0.962,34,0.641509433962264,,,,,,-,-,2,2,MG/GO,SE-CO,Reservatório,Rio São Marcos,Bacia do Paranaíba,,0.641509433962264,0.00623382733474477,0.0,9445,9446,1,BATALHUHE002,-,-,2,-,,2,2,26.8,-,-,-,0,8,26.8,OK,17.0,8.0,,BATALHUHE000,-12.3,13,,19.6,142.1,UHE.PH.MG.029454-3.01,,,,,,,,,,,,,,,,
95,Jaguari,525,25,3,12.5,-9,9,20,0.8,0.2869,0.988,20,0.8,,,,,,-,-,2,2,SP,SE-CO,Reservatório,Rio Jaguari,P. do Sul / R. das Lajes / Piraí,Vale do Paraíba do Sul - SP,0.8,0.0144341801385681,0.0,720,525,1,JAGUA-UHE002,-,-,2,-,,2,2,12.5,-,-,-,0,3,12.5,OK,74.0,2.0,,JAGUA-UHE000,-9,9,,5,74.01,UHE.PH.SP.027131-4.01,,,,,,,,,,,,,,,,
96,Queimado,4039,105,17.3,35,-15.5,17.4,67,0.638095238095238,7.138,1.02,67,0.638095238095238,,,,,,-,-,2,3,MG,SE-CO,Reservatório,Rio Preto,Rio São Francisco,Região Norte - MG,0.638095238095238,0.0099272005294507,0.0,4041,4039,1,QUEIMAUHE002,-,-,3,-,,2,2,35,-,-,-,0,17.3,35,OK,102.0,27.0,,QUEIMAUHE000,-15.5,17.4,,3,159.84,UHE.PH.MG.002176-8.01,,,,,,,,,,,,,,,,
97,PCH Salto Mauá,984,11,2.85,5.7,-2.5,1.8,7,0.636363636363636,-0.966,0.97,7,0.636363636363636,,,,,,-,-,2,2,PR,S,Fio d´Agua,Rio Tibagi,Bacia do Paranapanema,Norte do Paraná,0.636363636363636,0.00402488108305891,0.0,993,984,1,MAUA--PCH002,-,-,2,-,,2,2,5.7,-,-,-,0,2.85,5.7,OK,60.0,,,MAUA--PCH000,-2.5,1.8,,4.4,0.0,PCH.PH.PR.002654-9.01,,,,,,,,,,,,,,,,
98,Gov. Ney Braga (Segredo),810,1260,165,315,-100,92.5,756,0.6,-300,0.928,756,0.6,,,,,,1,1,3,4,PR,S,Reservatório,Rio Iguaçu,Bacia do Iguaçu,Sistema de 500kV do Sul,0.6,0.172579098753595,0.0,856,810,1,GNBRAGUHE003,1,0,4,1,,3,3,315,-,811,4,0,165,315,OK,167.0,0.0,4.0,GNBRAGUHE000,-100,92.5,0.6,189,5422.572,UHE.PH.PR.002715-4.01,,,,,,,,,,,,,,,,
99,Furnas,16,1216,101,152,-50,50,766,0.629934210526316,-259,0.95,766,0.629934210526316,,,,,,2,1,6,8,MG,SE-CO,Reservatório,Rio Grande,Bacia do Grande,Sistema de 345kV do Grande,0.629934210526316,0.163002680965147,0.0,136,16,1,FURNASUHE006,2,1,8,1,,6,6,152,-,17,5,0,101,152,OK,4.0,101.0,,FURNASUHE000,-50,50,,146,5600.0,UHE.PH.MG.001007-3.01,,,,,,,,,,,,,,,,
100,Gov. Bento Munhoz (Foz do Areia),800,1676,240,419,-200,200,1006,0.600238663484487,-284,0.93,1006,0.600238663484487,,,,,,1,0,3,4,PR,S,Reservatório,Rio Iguaçu,Bacia do Iguaçu,Sistema de 500kV do Sul,0.600238663484487,0.229557594850021,0.0,824,800,1,GBMUNHUHE003,1,1,4,0,,3,3,419,-,801,4,0,240,419,OK,166.0,0.0,3.0,GBMUNHUHE000,-200,200,0.3,251,5579.823,UHE.PH.PR.000984-9.01,,,,,,,,,,,,,,,,
101,Itaúba,1155,500,75,125,-60,61,300,0.6,-95.6,0.95,300,0.6,,,,,,1,0,3,4,RS,S,Fio d´Agua,Rio Jacuí,Rio Jacuí,,0.6,0.367376928728876,0.0,1215,1155,1,ITAUBAUHE003,1,1,4,0,,3,3,125,-,1156,3,0,75,125,OK,189.0,0.0,2.0,ITAUBAUHE000,-60,61,,75,1525.803,UHE.PH.RS.027019-9.01,,,,,,,,,,,,,,,,
102,Jaguara,301,400,65,100,-35,35,240,0.6,-31,0.95,240,0.6,,,,,,-,-,3,4,MG/SP,SE-CO,Fio d´Agua,Rio Grande,Bacia do Grande,Sistema de 345kV do Grande,0.6,0.0536193029490617,0.0,326,301,1,JAGUARUHE003,-,-,4,-,,3,3,100,-,-,-,0,65,100,OK,8.0,68.0,,JAGUARUHE000,-35,35,,60,1425.984,UHE.PH.SP.001225-4.01,,,,,,,,,,,,,,,,
103,Porto Primavera,510,1540,30,110,-45,45,924,0.6,-4.2,0.956,924,0.6,,,,,,-,-,9,14,SP,SE-CO,Reservatório,Rio Paraná,Bacia do Paraná,Malha de 440kV - SP,0.6,0.234470158343484,0.0,544,510,1,PPRIMAUHE009,-,-,14,-,,9,9,110,-,-,-,0,30,110,OK,45.0,814.0,,PPRIMAUHE000,-45,45,,66,4148.82,UHE.PH.SP.002127-0.01,,,,,,,,,,,,,,,,
104,Cachoeira Dourada 230 kV,752,54,30,54,-25,25,32,0.592592592592593,1.647,0.993,32,0.592592592592593,,,,,,-,-,1,1,GO,SE-CO,Fio d´Agua,Rio Paranaíba,Bacia do Paranaíba,,0.592592592592593,0.0063514467184192,0.0,749,752,1,C.DOU1UHE001,-,-,1,-,,1,1,54,-,-,-,0,30,54,OK,30.0,43.0,,C.DOU1UHE000,-25,25,,22,190.998,UHE.PH.GO.000528-2.01,,,,,,,,,,,,,,,,
105,Funil 1,14,222,30,74,-50,50,155,0.698198198198198,-60.6,0.959,155,0.698198198198198,,,,,,-,-,3,3,RJ,SE-CO,Reservatório,Rio Paraíba do Sul,P. do Sul / R. das Lajes / Piraí,,0.698198198198198,0.128175519630485,0.0,182,14,1,FUNIL-UHE003,-,-,3,-,,3,3,74,-,-,-,0,30,74,OK,77.0,36.0,,FUNIL-UHE000,-50,50,,67,775.002,UHE.PH.RJ.027118-7.01,,,,,,,,,,,,,,,,
106,Salto Grande (L. N. Garcez),512,73,1,18.45,-9,9,51,0.698630136986301,0.571,1,51,0.698630136986301,,,,,,-,-,3,4,SP/PR,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,Sistema de 88kV do Paranapanema - SP,0.698630136986301,0.0267105744603,0.0,613,512,1,S.GRD-UHE003,-,-,4,-,,3,3,18.45,-,-,-,2,1,18.45,OK,52.0,,,S.GRD-UHE000,-9,9,,4.34999999999999,146.988,UHE.PH.SP.002648-4.01,,,,,,,,,,,,,,,,
107,Picada,4016,53,12.5,26.5,-12,12,30,0.566037735849057,-14.7,0.994,30,0.566037735849057,,,,,,-,-,2,2,MG,SE-CO,Fio d´Agua,Rio do Peixe,P. do Sul / R. das Lajes / Piraí,Região Central - MG,0.566037735849057,0.0306004618937644,0.0,4017,4016,1,PIDACAUHE002,-,-,2,-,,2,2,26.5,-,-,-,0,12.5,26.5,OK,83.0,9.0,,PIDACAUHE000,-12,12,,23,169.68,UHE.PH.MG.002053-2.01,,,,,,,,,,,,,,,,
108,Aparecida B1,8646,80,5,40,-30.86,30.86,45,0.5625,-1.71,0.98,45,0.5625,,,,,,-,-,2,2,AM,N,Gás Natural,,Amazonas,,0.5625,0.0608365019011407,0.0,8567,8646,1,APARE1UTE002,-,-,2,-,,2,2,40,-,-,-,0,5,40,OK,337.0,,,APARE1UTE000,-30.86,30.86,,35,184.552,,201,74.4,35,,,,,,,,,,,,,
109,Salto,9442,121,,60.75,-19.4,29.42,68,0.56198347107438,-10.3,0.984,68,0.56198347107438,,,,,,-,-,2,2,GO,SE-CO,Fio d´Agua,Rio Verde,Bacia do Paranaíba,,0.56198347107438,0.014231945424606,0.0,9442,9460,1,SALTO-UHE002,-,-,2,-,,2,2,60.75,-,-,-,0,0,60.75,OK,39.0,38.0,,SALTO-UHE000,-19.4,29.42,,53.5,380.8,UHE.PH.GO.028758-0.01,,,,,,,,,,,,,,,,
110,Canoas I,508,82,8,27.5,-6,8,57,0.695121951219512,-6.34,0.962,57,0.695121951219512,,,,,,-,-,3,3,SP/PR,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,Sistema de 88kV do Paranapanema - SP,0.695121951219512,0.0300036589828028,0.0,555,508,1,CANOA1UHE003,-,-,3,-,,3,3,27.5,-,-,-,2,8,27.5,OK,54.0,20.0,,CANOA1UHE000,-6,8,,25.5,104.916,UHE.PH.SP.000647-5.01,,,,,,,,,,,,,,,,
111,Monjolinho (Alzir Antunes),931,74,18.9,37,-16.5,14,41,0.554054054054054,-12,0.95,41,0.554054054054054,,,,,,-,-,2,2,RS,S,Fio d´Agua,Rio Passo Fundo,Rio Uruguai,,0.554054054054054,0.0125444990676386,0.0,932,931,1,MONJOLUHE002,-,-,2,-,,2,2,37,-,-,-,0,18.9,37,OK,182.0,0.0,,MONJOLUHE000,-16.5,14,,33,191.06,UHE.PH.RS.028562-5.01,,,,,,,,,,,,,,,,
112,Jauru,4809,121,,40.5,-28.8,19.8,67,0.553719008264463,-30.4,0.954,67,0.553719008264463,,,,,,-,-,2,3,MT,SE-CO,Fio d´Agua,Rio Jauru,Bacia do Paraguai,,0.553719008264463,0.181137724550898,0.0,4808,4809,1,JAURU-UHE002,-,-,3,-,,2,2,40.5,-,-,-,0,0,40.5,OK,161.0,,,JAURU-UHE000,-28.8,19.8,,14,313.92,UHE.PH.MT.001245-9.01,,,,,,,,,,,,,,,,
113,Mascarenhas de Moraes B,24,180,23,45,-6,15.5,99,0.55,5.972,0.95,99,0.55,,,,,,-,-,3,4,MG,SE-CO,Reservatório,Rio Grande,Bacia do Grande,,0.55,0.0241286863270777,0.0,187,24,1,M.MORBUHE003,-,-,4,-,,3,3,45,-,-,-,0,23,45,OK,6.0,,,M.MORBUHE000,-6,15.5,,36,330.0,UHE.PH.MG.002038-9.01,,,,,,,,,,,,,,,,
114,Teles Pires,4492,1820,182,364,-141,155,983,0.54010989010989,52.1,1.04,983,0.54010989010989,,,,,,-,-,3,5,MT,SE-CO,Fio d´Agua,Rio Teles Pires,Bacia do Amazonas,,0.54010989010989,0.0768418830483428,0.0,4493,4492,1,TPIRESUHE003,-,-,5,-,,3,3,364,-,-,-,0,182,364,OK,158.0,182.0,,TPIRESUHE000,-141,155,,109,4183.824,UHE.PH.PA.030557-0.01,,,,,,,,,,,,,,,,
115,Cana Brava,3964,450,120,150,-47.3,52,243,0.54,-81.1,0.953,243,0.54,,,,,,1,0,2,3,GO,SE-CO,Fio d´Agua,Rio Tocantins,Rio Tocantins,,0.54,0.0348081683168317,0.0,3965,3964,1,CBRAV-UHE002,1,1,3,0,,2,2,150,-,23,2,0,120,150,OK,124.0,39.0,,CBRAV-UHE000,-47.3,52,,57,859.662,UHE.PH.GO.000630-0.01,,,,,,,,,,,,,,,,
116,Colíder,4462,300,30,100,-39,48.43,162,0.54,-25.8,1.04,162,0.54,,,,,,-,-,2,3,MT,SE-CO,Fio d´Agua,Rio Teles Pires,Bacia do Amazonas,,0.54,0.0126662444585181,0.0,4465,4462,1,COLID-UHE002,-,-,3,-,,2,2,100,-,-,-,0,30,100,OK,157.0,43.0,,COLID-UHE000,-39,48.43,,38,769.008,UHE.PH.MT.030422-0.01,,,,,,,,,,,,,,,,
117,São Manoel,4489,700,85,175,-68,84.7,378,0.54,41.44,1.04,378,0.54,,,,,,-,-,3,4,PA,SE-CO,Fio d´Agua,Rio Teles Pires,Bacia do Amazonas,,0.54,0.0295545704032088,0.0,4491,4489,1,SMANO-UHE003,-,-,4,-,,3,3,175,-,-,-,0,85,175,OK,159.0,78.0,,SMANO-UHE000,-68,84.7,,147,2009.064,UHE.PH.PA.031444-7.01,,,,,,,,,,,,,,,,
118,Sinop,4478,402,61,201,-97.3,97.3,217,0.539800995024876,-80.5,1,217,0.539800995024876,,,,,,-,-,2,2,MT,SE-CO,Fio d´Agua,Rio Teles Pires,Bacia do Amazonas,,0.539800995024876,0.0169727675744142,0.0,4479,4478,1,SINOP-UHE002,-,-,2,-,,2,2,201,-,-,-,0,61,201,OK,156.0,,,SINOP-UHE000,-97.3,97.3,,185,1436.12,UHE.PH.MT.031428-5.01,,,,,,,,,,,,,,,,
119,Baixo Iguaçu,9356,352,40,117.6,-45,56,190,0.539772727272727,-60.9,0.956,190,0.539772727272727,,,,,,-,-,2,3,PR,S,Fio d´Agua,Rio Iguaçu,Bacia do Iguaçu,SE Cascavel Oeste 230 kV,0.539772727272727,0.048212573620052,0.0,9354,9356,1,BAIGUAUHE002,-,-,3,-,,2,2,117.6,-,-,-,0,40,117.6,OK,172.0,,,BAIGUAUHE000,-45,56,2.011,45.2,812.2,UHE.PH.PR.030923-0.01,,,,,,,,,,,,,,,,
120,Passo Real,1175,152,40,76,-31,45,82,0.539473684210526,-50.7,0.95,82,0.539473684210526,,,,,,-,-,2,2,RS,S,Reservatório,Rio Jacuí,Rio Jacuí,,0.539473684210526,0.111682586333578,0.0,1243,1175,1,PREAL-UHE002,-,-,2,-,,2,2,76,-,-,-,0,40,76,OK,187.0,40.0,,PREAL-UHE000,-31,45,,70,451.584,UHE.PH.RS.002003-6.01,,,,,,,,,,,,,,,,
121,Dona Francisca,1176,125,32,62.5,-33,26,67,0.536,-39.9,0.95,67,0.536,,,,,,0,0,2,2,RS,S,Fio d´Agua,Rio Jacuí,Rio Jacuí,,0.536,0.091844232182219,0.0,1223,1176,1,DFRANCUHE002,0,0,2,0,,2,2,62.5,-,1177,2,0,32,62.5,OK,190.0,0.0,2.0,DFRANCUHE000,-33,26,,58,473.62,UHE.PH.RS.027012-1.01,,,,,,,,,,,,,,,,
122,Itaipú - 50Hz,1100,7500,420,750,-433,433,4068,0.5424,1215,1.05,4068,0.5424,,,,,,-,-,6,10,PR,SE-CO,Fio d´Agua,Rio Paraná,Bacia do Paraná - Itaipu,,0.5424,0.510204081632653,0.0,1101,1100,1,IPU-50UHE006,-,-,10,-,,6,6,750,-,-,-,0,420,750,OK,47.0,,,IPU-50UHE000,-433,433,,0,0.0,,,,,,,,,,,,,,,,,
123,Pirajú,614,81,20,40.5,-25.2,19.6,57,0.703703703703704,-14.8,0.998,57,0.703703703703704,,,,,,-,-,2,2,SP,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,Alto Paranapanema - SP,0.703703703703704,0.0296377607025247,0.0,641,614,1,PIRAJUUHE002,-,-,2,-,,2,2,40.5,-,-,-,0,20,40.5,OK,49.0,21.0,,PIRAJUUHE000,-25.2,19.6,,24,200.34,UHE.PH.SP.002077-0.01,,,,,,,,,,,,,,,,
124,Jaime Canet Júnior (Mauá),983,358,60,119.5,-57.6,45,189,0.527932960893855,-59.3,0.958,189,0.527932960893855,,,,,,-,-,2,3,PR,S,Reservatório,Rio Tibagi,Bacia do Paranapanema,Norte do Paraná,0.527932960893855,0.130991584339554,0.0,981,983,1,MAUA--UHE002,-,-,3,-,,2,2,119.5,-,-,-,0,60,119.5,OK,59.0,,,MAUA--UHE000,-57.6,45,2.9,50,808.6,UHE.PH.PR.029598-1.01,,,,,,,,,,,,,,,,
125,Emborcação,300,1192,112.1,298,-110,98,601,0.504194630872483,-214,0.955,601,0.504194630872483,,,,,,1,1,3,4,MG/GO,SE-CO,Reservatório,Rio Paranaíba,Bacia do Paranaíba,Sistema de 500kV do Paranaíba,0.504194630872483,0.14020230533992,0.0,320,300,1,EMBORCUHE003,1,0,4,1,,3,3,298,-,9034,4,0,112.1,298,OK,26.0,140.0,,EMBORCUHE000,-110,98,,293,5930.832,UHE.PH.MG.027115-2.01,,,,,,,,,,,,,,,,
126,Peixe Angical,7110,498,70,166.3,-100,55,251,0.504016064257028,-162,0.95,251,0.504016064257028,,,,,,-,-,2,3,TO,SE-CO,Reservatório,Rio Tocantins,Rio Tocantins,,0.504016064257028,0.0385210396039604,0.0,7111,7110,1,PEIXEAUHE002,-,-,3,-,,2,2,166.3,-,-,-,0,70,166.3,OK,126.0,127.0,,PEIXEAUHE000,-100,55,,81.6,982.1,UHE.PH.TO.028353-3.01,,,,,,,,,,,,,,,,
127,Ourinhos,2031,44,,14.8,-7.8,7.2,31,0.704545454545455,12.71,1.05,31,0.704545454545455,,,,,,-,-,3,3,SP/PR,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,Sistema de 88kV do Paranapanema - SP,0.704545454545455,0.0160995243322356,0.0,2046,2031,1,OURIN-UHE003,-,-,3,-,,3,3,14.8,-,-,-,0,0,14.8,OK,51.0,7.0,,OURIN-UHE000,-7.8,7.2,,13.4,50.4,UHE.PH.SP.027872-6.01,,,,,,,,,,,,,,,,
128,Jurumirim,506,100,21,50.48,-18.8,18.6,70,0.7,5.537,0.967,70,0.7,,,,,,-,-,2,2,SP,SE-CO,Reservatório,Rio Paranapanema,Bacia do Paranapanema,Alto Paranapanema - SP,0.7,0.0365898280278083,0.0,618,506,1,JURUMIUHE002,-,-,2,-,,2,2,50.48,-,-,-,1,21,50.48,OK,48.0,,,JURUMIUHE000,-18.8,18.6,,30.96,518.832,UHE.PH.SP.001285-8.01,,,,,,,,,,,,,,,,
129,Itaipú - 60HZ,1107,7200,420,720,-268,306,3500,0.486111111111111,-651,0.974,3500,0.486111111111111,,,,,,-,-,5,10,PR,SE-CO,Fio d´Agua,Rio Paraná,Bacia do Paraná - Itaipu,,0.486111111111111,0.489795918367347,0.0,1106,1107,1,IPU-60UHE005,-,-,10,-,,5,5,720,-,-,-,0,420,720,OK,46.0,,,IPU-60UHE000,-268,306,,100,19858.465,UHE.PH.PR.001161-4.01,,,,,,,,,,,,,,,,
130,Castro Alves,1166,129,19.44,43,-15,21,62,0.48062015503876,-30,0.956,62,0.48062015503876,,,,,,-,-,2,3,RS,S,Fio d´Agua,Rio Taquari-Antas,Rio Jacuí,,0.48062015503876,0.09478324761205,0.0,1154,1166,1,CALVESUHE002,-,-,3,-,,2,2,43,-,-,-,0,19.44,43,OK,191.0,0.0,,CALVESUHE000,-15,21,,24,219.84,UHE.PH.RS.000718-8.01,,,,,,,,,,,,,,,,
131,Simplício ,9500,305,,101.9,-49.4,49.4,214,0.701639344262295,-25.7,0.955,214,0.701639344262295,,,,,,-,-,3,3,RJ/MG,SE-CO,Fio d´Agua,Rio Paraíba do Sul,P. do Sul / R. das Lajes / Piraí,,0.701639344262295,0.176096997690531,0.0,9500,9501,1,SIMPL-UHE003,-,-,3,-,,3,3,101.9,-,-,-,0,0,101.9,OK,78.0,,,SIMPL-UHE000,-49.4,49.4,,91.7000000000001,1020.39,UHE.PH.MG.029458-6.01,,,,,,,,,,,,,,,,
132,Sobragi,317,69,-,-,-,-,33,0.478260869565217,-2.49,0.985,33,0.478260869565217,,,,,,-,-,-,-,MG,SE-CO,Fio d´Agua,Rio Paraibúna,P. do Sul / R. das Lajes / Piraí,Região Central - MG,0.478260869565217,0.039838337182448,0.0,327,317,1,SOBRAGUHE003,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,84.0,,,SOBRAGUHE003,-,-,,-,0.0,UHE.PH.MG.002757-0.01,,,,,,,,,,,,,,,,
133,Campos Novos,1157,879,120,293.3,-77,99,420,0.477815699658703,-152,0.982,420,0.477815699658703,,,,,,1,1,2,3,SC,S,Reservatório,Rio Canoas,Rio Uruguai,,0.477815699658703,0.149008306492626,0.0,953,1157,1,CNOVOSUHE002,1,0,3,1,,2,2,293.3,-,1158,3,0,120,293.3,OK,177.0,0.0,3.0,CNOVOSUHE000,-77,99,,166.6,3391.455,UHE.PH.SC.027401-1.01,,,,,,,,,,,,,,,,
134,Do Atlântico (TKCSA) (vapor),9603,310,50,310,-233,233,217,0.7,-77.7,0.95,217,0.7,,,,,,-,-,1,1,RJ,SE-CO,Gás Natural,,Rio de Janeiro,,0.7,0.028297581013236,0.0,9637,9603,1,CSA-V-UTE001,-,-,1,-,,1,1,310,-,-,-,0,50,310,OK,213.0,,,CSA-V-UTE000,-233,233,,93,2092.872,UTE.PE.RJ.029587-6.01,183,244.51,237,,,,,,,,,,,,,
135,Pereira Passos,255,100,15,50,-10,35,70,0.7,10.51,0.958,70,0.7,,,,,,-,-,2,2,RJ,SE-CO,Fio d´Agua,Ribeirão das Lajes,P. do Sul / R. das Lajes / Piraí,,0.7,0.0577367205542725,0.0,256,255,1,PPASSOUHE002,-,-,2,-,,2,2,50,-,-,-,0,15,50,OK,87.0,38.0,,PPASSOUHE000,-10,35,,30,433.4,UHE.PH.RJ.002043-5.01,,,,,,,,,,,,,,,,
136,Tucurui II,6424,1560,300,390,-117,130,716,0.458974358974359,7.797,1.01,716,0.458974358974359,,,,,,-,-,2,4,PA,N,Reservatório,Rio Tocantins,Rio Tocantins,Sistema Norte,0.458974358974359,0.120668316831683,0.0,6430,6424,1,TUCUR5UHE002,-,-,4,-,,2,2,390,-,-,-,0,300,390,OK,132.0,,,TUCUR5UHE000,-117,130,,64,3276.0,UHE.PH.PA.002889-4.01,,,,,,,,,,,,,,,,
137,Tucurui II,6425,2730,300,390,-117,105,1253,0.458974358974359,7.797,1.01,1253,0.458974358974359,,,,,,-,-,4,7,PA,N,Reservatório,Rio Tocantins,Rio Tocantins,Sistema Norte,0.458974358974359,0.211169554455446,0.0,6430,6425,1,TUCUR6UHE004,-,-,7,-,,4,4,390,-,-,-,0,300,390,OK,133.0,,,TUCUR6UHE000,-117,105,,307,6552.0,UHE.PH.PA.002889-4.01,,,,,,,,,,,,,,,,
138,Coaracy Nunes 1,8224,48,6.38,24,-7.9,7.9,22,0.458333333333333,7.9,0.99,22,0.458333333333333,,,,,,-,-,1,2,AP,N,Fio d´Agua,Rio Araguari,Bacia do Amazonas,,0.458333333333333,0.00202659911336289,0.0,8272,8224,1,CNUNE1UHE001,-,-,2,-,,1,1,24,-,-,-,0,6.38,24,OK,141.0,,,CNUNE1UHE000,-7.9,7.9,,2,68.875,UHE.PH.AP.000783-8.01,,,,,,,,,,,,,,,,
139,Jupiá - 440kV,502,1329,,,,,930,0.699774266365689,-45.5,0.953,930,0.699774266365689,,,,,,-,-,9,12,SP,SE-CO,Fio d´Agua,Rio Paraná,Bacia do Paraná,Malha de 440kV - SP,0.699774266365689,0.202344701583435,0.0,539,502,1,JUPIA-UHE009,-,-,12,-,,9,9,110.8,502,-,-,0,25,110.8,OK,43.0,732.0,,JUPIA-UHE000,,,,67.1999999999999,4536.0,UHE.PH.SP.001282-3.01,,,,,,,,,,,,,,,,
140,Guaporé,4804,124,,41.4,-28.8,19.8,87,0.701612903225807,-29.2,0.954,87,0.701612903225807,,,,,,-,-,3,3,MT,SE-CO,Fio d´Agua,Rio Guaporé,Bacia do Amazonas,,0.701612903225807,0.00523538104285413,0.0,4805,4804,1,GUAPO-UHE003,-,-,3,-,,3,3,41.4,-,-,-,0,0,41.4,OK,160.0,4.0,,GUAPO-UHE000,-28.8,19.8,,37.2,499.422,UHE.PH.MT.001066-9.01,,,,,,,,,,,,,,,,
141,Salto Grande   ,1502,100,-,-,-,-,70,0.7,-6.24,0.991,70,0.7,,,,,,-,-,-,-,MG,SE-CO,Fio d´Agua,Rio Santo Antônio,Rio Doce,Região Central - MG,0.7,0.0812347684809098,0.0,1570,1502,1,SGRANDUHE004,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,93.0,,,SGRANDUHE004,-,-,,-,0.0,UHE.PH.MG.027210-8.01,,,,,,,,,,,,,,,,
142,Mascarenhas,2600,181,,,,,127,0.701657458563536,-7.55,0.951,127,0.701657458563536,,0.7,,,,-,-,3,4,ES,SE-CO,Fio d´Agua,Rio Doce,Rio Doce,Espírito Santo,0.701657458563536,0.147034930950447,0.0,2655,2600,1,MASCA-UHE003,-,-,4,-,3,3,3,45.25,2600,-,-,0,28,45.25,OK,97.0,,,MASCA-UHE000,,,,4.5,374.385,UHE.PH.ES.001432-0.01,,,,,,,,,,,,,,,,
143,Três Marias,304,390,18,65,-15,15,273,0.7,37.97,0.988,277,0.71025641025641,,0.71,,,,-,-,5,6,MG,SE-CO,Reservatório,Rio São Francisco,Rio São Francisco,Região Norte - MG,0.7,0.0368724591093883,0.0,381,304,1,T.MAR-UHE005,-,-,6,-,5,5,5,65,-,-,-,0,18,65,OK,104.0,209.0,,T.MAR-UHE000,-15,15,,48,1990.02,UHE.PH.MG.027113-6.01,,,,,,,,,,,,,,,,
144,São José,9220,51,8,25.5,-12.35,12.76,20,0.392156862745098,-3.58,0.98,37,0.725490196078431,,0.72,,,,-,-,2,2,RS,S,Fio d´Agua,Rio Ijuí,Rio Uruguai,,0.392156862745098,0.00864553314121038,0.0,9221,9220,1,SJOSE-UHE001,-,-,2,-,2,2,2,25.5,-,-,-,0,8,25.5,OK,185.0,0.0,,SJOSE-UHE000,-12.35,12.76,,14,121.52,UHE.PH.RS.029459-4.01,,,,,,,,,,,,,,,,
145,Canoas II,509,72,7,24,-8,10,28,0.388888888888889,-2.27,0.99,53,0.736111111111111,,0.73,,,,-,-,3,3,SP/PR,SE-CO,Fio d´Agua,Rio Paranapanema,Bacia do Paranapanema,Sistema de 88kV do Paranapanema - SP,0.388888888888889,0.026344676180022,0.0,557,509,1,CANOA2UHE002,-,-,3,-,3,3,3,24,-,-,-,2,7,24,OK,53.0,16.0,,CANOA2UHE000,-8,10,,19,102.888,UHE.PH.SP.027092-0.01,,,,,,,,,,,,,,,,
146,Sá Carvalho,1599,83,-,-,-,-,32,0.385542168674699,0,0.908,61,0.734939759036145,,0.74,,,,-,-,-,-,MG,SE-CO,Fio d´Agua,Rio Piracicaba,Rio Doce,Região Central - MG,0.385542168674699,0.0674248578391552,0.0,1598,1599,1,SACARVUHE004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.0,11.0,,SACARVUHE004,-,-,,-,0.0,UHE.PH.MG.002563-1.01,,,,,,,,,,,,,,,,
147,Canastra 1,2051,21,5,21.25,-5,10.75,8,0.380952380952381,-1.44,0.976,16,0.761904761904762,,0.75,,,,-,-,1,1,RS,S,Fio d´Agua,Rio Santa Maria,Rio Jacuí,,0.380952380952381,0.0154298310066128,0.0,2051,2062,1,CAN-G1UHE001,-,-,1,-,1,1,1,21.25,-,-,-,0,5,21.25,OK,194.0,23.0,,CAN-G1UHE000,-5,10.75,,5.25,0.0,UHE.PH.RS.000635-1.01,,,,,,,,,,,,,,,,
