,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_10,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
230,run_2025-08-31_16-04-07,config_3,7,3,0.9,2,5,0.1,20,1,10,0.2,50,,1,21,20,1,17,,,,,52.42507894127207,11,function_IEEE_14
371,run_2025-08-31_19-40-43,config_4,1,4,0.9,2,5,0.05,20,1,10,0.2,50,,6,12,6,24,0,,,,,52.45082120403397,0,function_IEEE_14
193,run_2025-08-31_15-58-02,config_2,2,2,0.9,2,5,0.8,20,1,10,0.2,50,,16,29,16,6,24,,,,,52.4573094373051,13,function_IEEE_14
287,run_2025-08-31_17-05-38,config_4,1,4,0.9,2,5,0.05,20,1,10,0.2,50,,12,1,12,6,28,,,,,52.45730943730521,19,function_IEEE_14
373,run_2025-08-31_19-40-43,config_4,3,4,0.9,2,5,0.05,20,1,10,0.2,50,,18,30,18,0,24,,,,,52.45730943730521,12,function_IEEE_14
344,run_2025-08-31_19-10-42,config_4,2,4,0.9,2,5,0.05,20,1,10,0.2,50,,11,21,11,1,29,,,,,52.45730943730531,14,function_IEEE_14
273,run_2025-08-31_17-05-38,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,21,7,1,1,8,,,,,52.5127004494998,12,function_IEEE_14
334,run_2025-08-31_19-10-42,config_2,6,2,0.9,2,5,0.8,20,1,10,0.2,50,,22,0,28,28,5,,,,,52.51270044949982,8,function_IEEE_14
274,run_2025-08-31_17-05-38,config_2,2,2,0.9,2,5,0.8,20,1,10,0.2,50,,8,24,1,1,14,,,,,52.51270044949985,18,function_IEEE_14
307,run_2025-08-31_18-40-45,config_2,7,2,0.9,2,5,0.8,20,1,10,0.2,50,,8,3,24,24,16,,,,,52.51270044949985,19,function_IEEE_14
253,run_2025-08-31_16-34-49,config_3,2,3,0.9,2,5,0.1,20,1,10,0.2,50,,23,7,0,0,17,,,,,52.51270044949986,12,function_IEEE_14
