2025-08-17 04:57:47,820 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:57,272 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:57,648 - INFO - These dtypes could not be corrected: {'trafo': ['tap_neutral', 'tap_min', 'tap_max', 'tap_pos']}
2025-08-17 04:57:59,207 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-sans/SourceSans3-SemiboldIt.otf', name='Source Sans 3', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-08-17 04:57:59,207 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gnu-free/FreeMonoBold.otf', name='FreeMono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,207 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Lato-Regular.ttf', name='Lato', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-17 04:57:59,207 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Lato-Medium.ttf', name='Lato', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,207 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-han-sans/SourceHanSansCN-Normal.otf', name='Source Han Sans CN', style='normal', variant='normal', weight=350, stretch='normal', size='scalable')) = 10.0975
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/noto/NotoSerif-BoldItalic.ttf', name='Noto Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusRoman-Bold.otf', name='Nimbus Roman', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Roboto-BoldItalic.ttf', name='Roboto', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/TTF/Lato-Thin.ttf', name='Lato', style='normal', variant='normal', weight=275, stretch='normal', size='scalable')) = 10.16875
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/adobe-source-han-sans/SourceHanSansKR-Light.otf', name='Source Han Sans KR', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2025-08-17 04:57:59,208 - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/gsfonts/NimbusMonoPS-BoldItalic.otf', name='Nimbus Mono PS', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
